X,Y,Subtracted,Original 1,Original 2
2134,936,3,37,34
2134,942,15,46,31
2135,961,7,38,31
2135,967,4,39,35
2136,967,7,47,40
2136,979,4,38,34
2136,980,4,38,34
2137,992,4,53,49
2138,992,1,34,33
2137,998,9,58,49
2138,998,4,51,47
2137,999,18,59,41
2138,999,7,55,48
2141,1080,8,64,56
2142,1080,11,58,47
2141,1081,4,47,43
2142,1081,10,45,35
2143,1131,19,53,34
2143,1132,25,59,34
2143,1144,7,73,66
2142,1145,2,65,63
2143,1145,4,65,61
2143,1150,1,35,34
2143,1151,15,69,54
2143,1152,3,35,32
2143,1157,26,76,50
2143,1158,16,53,37
2142,1163,5,58,53
2143,1163,1,79,78
2142,1164,3,56,53
2143,1164,12,90,78
2143,1165,14,46,32
2143,1170,13,49,36
2143,1182,15,59,44
2143,1183,4,75,71
2143,1202,2,70,68
2143,1203,9,41,32
2142,1214,2,41,39
2143,1221,4,36,32
2141,1227,2,34,32
2142,1227,1,50,49
2141,1233,15,49,34
2141,1234,12,47,35
2141,1239,12,83,71
2142,1239,9,77,68
2141,1240,9,92,83
2141,1241,5,62,57
2141,1245,2,61,59
2142,1245,5,43,38
2141,1247,5,84,79
2141,1251,5,41,36
2141,1252,3,69,66
2142,1252,3,57,54
2141,1258,7,68,61
2141,1259,8,67,59
2141,1264,4,40,36
2140,1265,1,34,33
2141,1265,2,53,51
2142,1265,4,40,36
2141,1266,6,45,39
2140,1271,6,71,65
2141,1271,5,73,68
2142,1271,3,39,36
2140,1272,9,65,56
