X,Y,Subtracted,Original 1,Original 2
2140,1074,1,33,32
2140,1075,1,52,51
2141,1075,4,65,61
2142,1075,3,41,38
2140,1076,3,34,31
2141,1076,6,46,40
2141,1082,7,39,32
2142,1094,3,44,41
2142,1113,2,48,46
2142,1114,2,36,34
2142,1126,12,44,32
2142,1127,11,44,33
2142,1139,6,39,33
2143,1145,1,47,46
2141,1151,12,43,31
2143,1151,6,67,61
2142,1164,3,51,48
2143,1164,11,79,68
2142,1165,6,48,42
2143,1165,17,76,59
2142,1177,1,44,43
2143,1183,7,67,60
2143,1196,18,59,41
2143,1197,11,50,39
2142,1202,8,56,48
2143,1202,21,52,31
2142,1203,11,62,51
2142,1209,1,47,46
2142,1215,11,55,44
2142,1221,19,57,38
2142,1222,27,58,31
2141,1228,1,59,58
2142,1229,9,43,34
2141,1235,4,47,43
2142,1235,5,47,42
2141,1239,1,45,44
2141,1240,1,63,62
2141,1241,13,66,53
2142,1241,11,68,57
2142,1242,10,45,35
2141,1246,8,60,52
2142,1246,6,62,56
2141,1248,1,35,34
2141,1253,8,45,37
2142,1253,6,38,32
2141,1259,2,52,50
2142,1259,2,42,40
2141,1260,2,52,50
2142,1260,2,42,40
2141,1265,11,63,52
2141,1266,7,81,74
2142,1266,10,43,33
2140,1272,3,50,47
2141,1272,4,77,73
2141,1273,1,43,42
2141,1278,1,40,39
