X,Y,Subtracted,Original 1,Original 2
2191,969,8,54,46
2191,970,7,48,41
2191,975,5,45,40
2192,975,8,40,32
2191,976,5,94,89
2192,976,12,46,34
2192,981,1,66,65
2191,982,7,80,73
2192,982,8,64,56
2191,983,15,58,43
2191,987,9,42,33
2192,987,6,37,31
2191,988,3,46,43
2192,988,2,43,41
2192,993,14,46,32
2193,993,13,45,32
2192,994,7,83,76
2193,994,6,68,62
2193,1000,6,86,80
2194,1000,9,45,36
2193,1001,6,89,83
2194,1001,10,43,33
2192,1006,28,90,62
2193,1006,16,102,86
2194,1006,6,53,47
2192,1007,1,110,109
2193,1008,5,36,31
2193,1012,11,69,58
2194,1012,11,50,39
2193,1013,14,93,79
2194,1013,15,66,51
2193,1014,6,58,52
2193,1018,4,50,46
2194,1018,13,47,34
2192,1019,3,45,42
2193,1019,8,104,96
2194,1019,8,81,73
2192,1020,11,47,36
2193,1020,9,99,90
2194,1020,1,69,68
2193,1021,5,39,34
2193,1024,14,54,40
2192,1026,16,66,50
2194,1026,8,92,84
2193,1031,2,68,66
2194,1031,19,89,70
2195,1031,10,53,43
2194,1032,14,84,70
2193,1037,2,69,67
2194,1037,1,53,52
2194,1038,2,73,71
2195,1038,13,55,42
2194,1039,2,67,65
2195,1039,14,68,54
2193,1044,7,62,55
2194,1044,4,80,76
2195,1044,2,37,35
2193,1045,2,58,56
2194,1045,1,80,79
2195,1045,1,36,35
2195,1050,3,62,59
2193,1051,3,49,46
2195,1051,3,66,63
2194,1056,12,66,54
2194,1057,13,105,92
2195,1057,24,74,50
2194,1062,15,54,39
2194,1063,3,130,127
2195,1063,19,89,70
2195,1064,10,88,78
2194,1069,7,75,68
2195,1069,6,101,95
2196,1069,3,36,33
2194,1070,8,76,68
2195,1070,20,139,119
2195,1071,19,96,77
2194,1076,7,54,47
2194,1077,5,42,37
2195,1077,2,52,50
2195,1081,3,40,37
2196,1082,8,44,36
2194,1088,1,73,72
2194,1089,1,67,66
2194,1090,1,38,37
2195,1094,6,48,42
2195,1095,6,90,84
2196,1095,7,44,37
2195,1096,16,114,98
2195,1097,4,40,36
2195,1101,28,80,52
2195,1102,17,102,85
2195,1107,34,77,43
2195,1108,7,103,96
2195,1109,4,75,71
2195,1113,2,53,51
2194,1120,22,71,49
2195,1120,17,94,77
2196,1120,13,56,43
2194,1121,8,68,60
2194,1122,6,46,40
2195,1132,3,36,33
2194,1133,7,69,62
2195,1133,14,103,89
2195,1134,15,118,103
2195,1135,15,61,46
2195,1139,12,57,45
2194,1140,3,36,33
2195,1145,4,117,113
2196,1145,3,50,47
2196,1146,3,73,70
2194,1147,21,143,122
2194,1148,24,85,61
2195,1152,7,91,84
2194,1153,3,124,121
2195,1153,22,113,91
2194,1158,3,56,53
2194,1159,1,116,115
2195,1159,25,68,43
2194,1160,41,76,35
2194,1164,8,65,57
2194,1165,24,124,100
2194,1166,17,107,90
2195,1166,10,130,120
2194,1172,1,91,90
2196,1172,6,38,32
2194,1173,4,79,75
2195,1178,14,70,56
2194,1179,6,105,99
2195,1179,16,72,56
2194,1180,14,54,40
2195,1184,4,40,36
2195,1185,2,63,61
2195,1186,2,34,32
2193,1191,1,100,99
2194,1197,2,81,79
2195,1197,7,51,44
2192,1198,8,48,40
2194,1198,4,91,87
2195,1198,11,56,45
2194,1199,5,51,46
2193,1203,16,131,115
2193,1204,28,189,161
2193,1205,62,161,99
2194,1205,12,74,62
2193,1209,3,50,47
2194,1209,1,39,38
2193,1212,6,47,41
2194,1212,3,42,39
2192,1218,4,101,97
2193,1218,17,109,92
2194,1218,14,90,76
2193,1219,2,36,34
2192,1222,4,61,57
2192,1223,1,143,142
2193,1223,7,155,148
2194,1223,9,62,53
2192,1224,4,108,104
2194,1224,6,76,70
2192,1225,7,55,48
2192,1229,8,87,79
2194,1229,11,49,38
2192,1231,2,82,80
2192,1236,29,120,91
2193,1236,19,98,79
2192,1238,19,76,57
2193,1238,3,64,61
2192,1242,3,86,83
2191,1243,3,55,52
2192,1243,2,113,111
2191,1244,7,39,32
2192,1244,1,59,58
2191,1249,9,96,87
2193,1249,3,55,52
2190,1255,10,54,44
2190,1256,1,60,59
2190,1257,11,51,40
2191,1257,19,130,111
2192,1257,10,54,44
2190,1262,26,65,39
2191,1262,17,136,119
2190,1268,1,108,107
2192,1268,27,69,42
2189,1269,3,38,35
2190,1269,8,121,113
2191,1269,11,153,142
2192,1269,17,54,37
2190,1270,3,71,68
2191,1270,7,75,68
2191,1273,9,40,31
2191,1274,8,82,74
2189,1275,13,92,79
2190,1275,14,140,126
2189,1276,15,61,46
2190,1276,15,95,80
2189,1280,21,65,44
2189,1281,14,96,82
2191,1281,16,65,49
2189,1282,9,82,73
2190,1286,7,49,42
2190,1287,16,130,114
2190,1288,8,93,85
2190,1289,19,67,48
2189,1293,14,150,136
2189,1294,12,181,169
2188,1295,13,56,43
2189,1295,5,173,168
2190,1299,13,53,40
2187,1301,6,42,36
2188,1301,20,144,124
2189,1301,14,163,149
2188,1302,11,77,66
2189,1302,4,62,58
2188,1305,9,70,61
2187,1306,5,54,49
2188,1306,5,95,90
2189,1307,1,88,87
2187,1308,3,69,66
2188,1308,3,78,75
2189,1308,9,75,66
2188,1312,6,98,92
2189,1312,42,80,38
2186,1313,8,43,35
2187,1313,6,103,97
2188,1313,2,170,168
2189,1313,1,62,61
2187,1314,9,87,78
2187,1318,12,96,84
2188,1318,3,44,41
2186,1319,7,88,81
2186,1320,21,83,62
2187,1320,4,182,178
2187,1324,4,68,64
2187,1325,16,162,146
2187,1326,9,179,170
2187,1330,11,42,31
2186,1331,16,90,74
2188,1331,7,48,41
2186,1332,14,114,100
2187,1332,12,114,102
2188,1332,21,53,32
2186,1334,2,38,36
2185,1337,3,93,90
2185,1338,10,151,141
2187,1338,12,77,65
2185,1339,12,142,130
2187,1339,9,78,69
2186,1340,5,74,69
2185,1343,6,87,81
2186,1343,2,70,68
2184,1344,12,91,79
2185,1344,8,152,144
2185,1345,5,137,132
2185,1346,4,84,80
2184,1350,7,75,68
2186,1350,2,35,33
2184,1351,11,146,135
2184,1352,42,111,69
2185,1352,25,78,53
