X,Y,Subtracted,Original 1,Original 2
2191,969,3,54,51
2192,975,2,40,38
2192,976,9,46,37
2191,981,7,61,54
2192,981,19,66,47
2192,982,10,64,54
2192,988,9,43,34
2191,994,3,34,31
2193,994,15,68,53
2193,995,2,60,58
2192,1000,7,55,48
2193,1000,11,86,75
2192,1006,26,90,64
2193,1006,24,102,78
2193,1007,7,102,95
2193,1012,5,69,64
2194,1012,6,50,44
2193,1013,3,93,90
2194,1013,6,66,60
2193,1014,3,58,55
2194,1014,5,38,33
2193,1018,6,50,44
2193,1019,17,104,87
2194,1019,22,81,59
2192,1020,5,47,42
2193,1020,18,99,81
2194,1020,15,69,54
2193,1021,6,39,33
2193,1024,13,54,41
2194,1024,3,44,41
2193,1025,15,92,77
2192,1026,3,66,63
2193,1026,9,116,107
2195,1031,18,53,35
2194,1032,13,84,71
2195,1032,17,51,34
2195,1038,6,55,49
2195,1039,11,68,57
2193,1044,7,62,55
2194,1044,6,80,74
2195,1044,3,37,34
2193,1045,2,58,56
2194,1045,3,80,77
2195,1045,2,36,34
2194,1056,13,66,53
2194,1057,14,105,91
2195,1057,11,74,63
2194,1062,17,54,37
2195,1063,1,89,88
2195,1069,27,101,74
2195,1070,25,139,114
2195,1071,27,96,69
2195,1075,3,46,43
2194,1076,3,54,51
2195,1076,3,72,69
2194,1077,2,42,40
2195,1077,2,52,50
2195,1081,3,40,37
2196,1082,9,44,35
2194,1088,16,73,57
2194,1089,4,67,63
2195,1090,3,37,34
2194,1094,13,57,44
2195,1094,8,48,40
2194,1095,14,104,90
2196,1095,10,44,34
2195,1096,8,114,106
2195,1097,2,40,38
2195,1101,5,80,75
2195,1102,3,102,99
2195,1103,9,60,51
2195,1107,7,77,70
2195,1108,2,103,101
2195,1109,1,75,74
2195,1113,2,53,51
2194,1114,9,41,32
2195,1114,7,88,81
2195,1115,7,76,69
2195,1119,2,42,40
2194,1120,3,71,68
2196,1120,11,56,45
2194,1121,5,68,63
2196,1121,5,44,39
2194,1122,9,46,37
2195,1122,4,45,41
2195,1128,6,56,50
2194,1133,5,69,64
2195,1133,21,103,82
2194,1134,6,65,59
2195,1134,25,118,93
2195,1135,19,61,42
2195,1139,18,57,39
2195,1140,3,80,77
2195,1141,2,50,48
2194,1145,3,57,54
2196,1145,11,50,39
2195,1147,3,131,128
2194,1152,2,69,67
2195,1152,19,91,72
2194,1154,2,60,58
2194,1158,21,56,35
2194,1159,7,116,109
2194,1160,39,76,37
2194,1164,9,65,56
2194,1165,24,124,100
2194,1166,19,107,88
2195,1166,10,130,120
2194,1171,2,51,49
2195,1171,4,55,51
2193,1172,8,42,34
2194,1172,7,91,84
2195,1172,7,91,84
2196,1172,5,38,33
2194,1173,1,79,78
2194,1178,9,94,85
2195,1178,17,70,53
2194,1179,5,105,100
2195,1179,4,72,68
2194,1180,5,54,49
2195,1184,1,40,39
2194,1186,1,62,61
2193,1196,11,62,51
2192,1197,3,35,32
2193,1197,6,144,138
2194,1197,7,81,74
2195,1197,2,51,49
2192,1198,3,48,45
2193,1203,17,131,114
2193,1204,14,189,175
2194,1204,12,78,66
2193,1205,5,161,156
2194,1205,20,74,54
2192,1210,7,53,46
2193,1210,1,101,100
2192,1211,7,51,44
2193,1211,5,99,94
2194,1211,5,90,85
2194,1216,7,87,80
2192,1218,14,101,87
2193,1218,15,109,94
2194,1218,10,90,80
2192,1223,7,143,136
2193,1223,2,155,153
2194,1223,5,62,57
2192,1224,15,108,93
2192,1225,3,55,52
2192,1229,18,87,69
2194,1229,16,49,33
2192,1230,10,94,84
2192,1231,5,82,77
2191,1236,3,64,61
2192,1236,7,120,113
2193,1236,5,98,93
2192,1238,29,76,47
2193,1238,23,64,41
2193,1243,11,56,45
2191,1249,7,96,89
2192,1249,4,128,124
2193,1249,7,55,48
2191,1250,2,88,86
2192,1250,3,97,94
2193,1250,1,32,31
2191,1254,11,58,47
2190,1255,7,54,47
2191,1255,65,156,91
2191,1256,10,174,164
2190,1257,19,51,32
2191,1257,37,130,93
2192,1257,6,54,48
2191,1261,8,84,76
2190,1262,18,65,47
2191,1262,30,136,106
2192,1262,1,36,35
2190,1268,3,108,105
2192,1268,18,69,51
2189,1269,2,38,36
2190,1269,8,121,113
2191,1269,15,153,138
2192,1269,6,54,48
2191,1270,10,75,65
2191,1274,9,82,73
2189,1275,13,92,79
2190,1275,1,140,139
2189,1276,21,61,40
2190,1276,12,95,83
2189,1280,27,65,38
2190,1280,3,89,86
2189,1281,13,96,83
2191,1281,6,65,59
2189,1282,17,82,65
2191,1282,3,34,31
2189,1283,2,36,34
2190,1286,5,49,44
2190,1287,28,130,102
2190,1288,7,93,86
2189,1289,4,109,105
2190,1289,3,67,64
2188,1293,12,54,42
2189,1294,19,181,162
2189,1295,102,173,71
2190,1300,2,59,57
2188,1301,19,144,125
2189,1301,11,163,152
2190,1301,10,51,41
2188,1302,14,77,63
2189,1305,2,43,41
2188,1306,2,95,93
2189,1306,4,97,93
2188,1307,17,159,142
2189,1307,3,88,85
2188,1308,26,78,52
2188,1312,17,98,81
2189,1312,33,80,47
2187,1313,24,103,79
2189,1313,10,62,52
2188,1314,8,97,89
2187,1318,27,96,69
2186,1319,15,88,73
2188,1319,2,143,141
2189,1319,12,44,32
2186,1320,6,83,77
2188,1320,13,101,88
2187,1321,6,96,90
2188,1321,28,65,37
2187,1324,12,68,56
2187,1325,1,162,161
2187,1326,14,179,165
2187,1327,61,137,76
2187,1330,9,42,33
2185,1331,5,38,33
2186,1331,8,90,82
2187,1331,10,96,86
2188,1331,10,48,38
2186,1334,3,38,35
2185,1337,9,93,84
2185,1338,34,151,117
2187,1338,21,77,56
2185,1339,15,142,127
2187,1339,6,78,72
2185,1340,8,79,71
2185,1343,2,87,85
2184,1344,6,91,85
2185,1346,2,84,82
2186,1346,2,77,75
2185,1351,1,95,94
2186,1351,3,42,39
2184,1352,37,111,74
2185,1352,20,78,58
2186,1352,2,34,32
