X,Y,Subtracted,Original 1,Original 2
2130,905,5,52,47
2131,905,1,36,35
2131,912,5,70,65
2132,924,1,70,69
2133,936,6,89,83
2133,937,1,35,34
2133,941,5,69,64
2133,942,8,87,79
2135,942,3,46,43
2133,943,2,57,55
2133,948,5,56,51
2134,948,2,67,65
2133,949,10,64,54
2134,949,4,76,72
2134,954,2,59,57
2135,954,7,53,46
2134,955,2,82,80
2135,955,5,64,59
2134,960,13,54,41
2135,960,4,57,53
2136,960,12,44,32
2134,961,11,62,51
2135,961,4,72,68
2135,962,2,44,42
2135,967,12,84,72
2136,967,5,88,83
2135,968,5,87,82
2136,968,4,49,45
2136,972,3,51,48
2135,973,8,52,44
2136,973,5,81,76
2135,974,11,58,47
2136,974,1,51,50
2136,979,2,73,71
2137,979,1,48,47
2136,980,2,79,77
2137,980,2,54,52
2137,986,2,50,48
2137,992,19,98,79
2137,993,10,55,45
2137,997,5,62,57
2137,998,20,107,87
2138,998,3,83,80
2137,999,31,105,74
2138,999,5,85,80
2137,1004,2,46,44
2138,1004,4,62,58
2139,1029,1,34,33
2139,1031,7,48,41
2139,1036,11,72,61
2140,1036,11,72,61
2139,1037,8,52,44
2140,1037,8,52,44
2139,1049,5,44,39
2140,1049,3,62,59
2140,1050,6,37,31
2141,1062,1,66,65
2141,1074,16,150,134
2142,1074,17,86,69
2140,1075,1,70,69
2141,1075,35,134,99
2142,1075,36,75,39
2141,1080,10,97,87
2142,1080,19,80,61
2141,1081,1,84,83
2142,1081,7,75,68
2141,1086,3,44,41
2142,1086,9,44,35
2141,1087,3,68,65
2142,1087,1,64,63
2142,1088,8,68,60
2141,1092,25,64,39
2141,1093,35,119,84
2143,1093,2,50,48
2141,1094,37,133,96
2143,1094,10,56,46
2141,1095,34,104,70
2141,1099,18,75,57
2142,1099,3,67,64
2141,1100,19,92,73
2142,1100,3,80,77
2141,1101,11,61,50
2142,1101,5,54,49
2141,1105,5,45,40
2142,1105,2,51,49
2142,1106,1,93,92
2143,1106,4,53,49
2143,1107,7,51,44
2141,1112,3,54,51
2141,1113,18,76,58
2142,1113,17,103,86
2143,1113,9,72,63
2142,1118,16,62,46
2143,1119,11,56,45
2143,1120,15,47,32
2142,1124,7,66,59
2142,1125,11,127,116
2142,1126,58,132,74
2143,1126,22,84,62
2142,1127,23,85,62
2141,1131,1,48,47
2142,1138,11,72,61
2142,1139,15,66,51
2143,1139,2,65,63
2142,1143,6,61,55
2142,1144,12,119,107
2143,1144,15,97,82
2143,1145,20,113,93
2142,1146,6,73,67
2142,1149,19,57,38
2143,1149,4,48,44
2142,1150,46,124,78
2144,1150,10,42,32
2142,1151,28,176,148
2144,1151,11,59,48
2142,1152,53,97,44
2142,1156,5,79,74
2142,1157,27,141,114
2143,1157,4,98,94
2143,1158,12,89,77
2143,1159,16,53,37
2142,1162,21,70,49
2142,1163,23,118,95
2143,1163,3,119,116
2142,1164,7,106,99
2143,1164,3,134,131
2143,1165,8,90,82
2142,1169,1,49,48
2143,1175,17,56,39
2141,1177,2,36,34
2142,1183,8,132,124
2143,1183,36,116,80
2142,1189,2,84,82
2143,1189,20,83,63
2142,1190,2,33,31
2143,1194,10,47,37
2141,1195,5,42,37
2142,1200,3,59,56
2143,1200,10,56,46
2141,1201,1,48,47
2141,1202,13,56,43
2142,1202,10,99,89
2143,1202,5,108,103
2142,1203,18,78,60
2143,1203,21,89,68
2143,1208,10,77,67
2141,1209,19,51,32
2143,1215,12,76,64
2143,1220,9,56,47
2141,1226,6,46,40
2142,1226,12,68,56
2142,1227,8,111,103
2142,1228,4,82,78
2142,1229,2,35,33
2142,1232,5,76,71
2142,1233,8,127,119
2143,1233,17,79,62
2141,1234,5,108,103
2143,1234,2,66,64
2141,1235,11,64,53
2141,1239,4,115,111
2143,1239,6,64,58
2142,1240,1,70,69
2143,1240,13,62,49
2141,1241,3,120,117
2142,1241,22,83,61
2140,1245,12,49,37
2141,1245,13,128,115
2143,1245,10,62,52
2141,1246,6,139,133
2143,1246,11,47,36
2141,1247,22,160,138
2141,1251,4,84,80
2141,1252,22,130,108
2142,1252,7,86,79
2141,1253,15,104,89
2141,1254,3,50,47
2141,1257,7,58,51
2142,1257,6,50,44
2141,1258,16,106,90
2142,1258,5,87,82
2140,1259,4,46,42
2141,1259,13,103,90
2142,1259,1,83,82
2140,1265,16,79,63
2141,1266,13,89,76
2142,1270,2,35,33
2142,1271,2,65,63
2140,1272,7,94,87
2141,1272,11,133,122
2142,1272,7,75,68
2140,1273,5,58,53
2141,1273,8,81,73
2142,1273,5,44,39
2140,1276,2,55,53
2141,1276,10,55,45
2140,1277,6,106,100
2141,1277,14,111,97
2142,1277,10,52,42
2139,1278,2,35,33
2140,1278,10,97,87
2141,1278,17,108,91
2142,1278,9,52,43
2140,1279,12,54,42
2141,1279,17,72,55
