X,Y,Subtracted,Original 1,Original 2
2191,969,8,40,32
2191,970,7,68,61
2191,971,5,49,44
2191,976,9,92,83
2191,977,23,60,37
2191,981,8,54,46
2192,982,8,55,47
2191,983,2,76,74
2192,983,13,86,73
2192,988,7,48,41
2192,989,5,72,67
2192,994,3,62,59
2191,995,11,43,32
2192,995,7,109,102
2193,995,6,53,47
2192,996,3,49,46
2192,1007,19,162,143
2193,1009,14,59,45
2192,1013,5,89,84
2193,1013,13,107,94
2193,1014,17,142,125
2193,1015,58,110,52
2193,1019,2,60,58
2192,1020,5,70,65
2193,1020,7,97,90
2192,1021,15,49,34
2193,1021,13,65,52
2193,1025,1,78,77
2193,1026,22,140,118
2193,1027,30,111,81
2194,1027,8,44,36
2192,1033,3,43,40
2193,1033,3,87,84
2194,1033,2,71,69
2194,1039,1,114,113
2195,1039,5,41,36
2194,1040,1,62,61
2193,1044,3,47,44
2193,1045,4,91,87
2194,1045,2,104,102
2195,1045,1,36,35
2193,1046,3,61,58
2194,1046,2,64,62
2193,1050,3,54,51
2194,1050,11,60,49
2193,1051,3,101,98
2194,1051,15,120,105
2195,1051,13,53,40
2193,1052,7,95,88
2194,1052,11,107,96
2195,1052,10,42,32
2193,1053,1,43,42
2193,1057,2,56,54
2194,1057,7,68,61
2194,1058,8,88,80
2195,1058,14,45,31
2193,1064,6,77,71
2194,1064,9,76,67
2193,1065,15,69,54
2194,1065,11,73,62
2195,1065,4,69,65
2193,1071,10,60,50
2195,1071,3,73,70
2194,1072,2,40,38
2194,1076,7,63,56
2194,1077,5,95,90
2194,1078,3,46,43
2194,1082,7,46,39
2194,1083,12,93,81
2195,1083,23,84,61
2195,1084,11,51,40
2193,1089,4,35,31
2194,1097,16,65,49
2195,1102,9,94,85
2194,1108,4,63,59
2194,1109,6,83,77
2194,1110,9,52,43
2195,1114,5,46,41
2195,1115,7,89,82
2195,1116,4,66,62
2194,1120,3,44,41
2195,1120,4,43,39
2194,1121,10,95,85
2195,1121,12,112,100
2194,1122,12,89,77
2195,1122,18,126,108
2195,1123,4,58,54
2194,1128,7,48,41
2195,1128,3,77,74
2195,1134,3,84,81
2195,1135,10,88,78
2194,1136,1,40,39
2195,1136,2,35,33
2194,1140,2,57,55
2195,1140,9,49,40
2194,1141,1,85,84
2195,1141,12,74,62
2194,1146,13,90,77
2194,1147,34,212,178
2196,1147,18,63,45
2195,1148,2,110,108
2193,1153,1,55,54
2193,1154,8,45,37
2194,1154,4,102,98
2195,1154,3,107,104
2196,1154,4,49,45
2194,1155,2,48,46
2194,1160,19,85,66
2195,1160,15,76,61
2194,1161,3,58,55
2194,1166,7,98,91
2195,1166,3,62,59
2194,1167,11,135,124
2195,1167,5,85,80
2193,1173,2,77,75
2193,1174,5,36,31
2194,1174,1,50,49
2193,1178,4,57,53
2193,1179,14,106,92
2194,1179,2,124,122
2193,1180,19,95,76
2194,1180,7,107,100
2193,1181,14,45,31
2193,1186,2,188,186
2195,1186,2,60,58
2193,1187,5,118,113
2194,1187,4,57,53
2192,1192,2,38,36
2193,1192,23,199,176
2193,1193,10,146,136
2194,1193,4,81,77
2193,1197,9,98,89
2194,1198,10,124,114
2192,1199,15,76,61
2194,1199,9,103,94
2194,1200,5,77,72
2192,1205,12,81,69
2193,1205,14,106,92
2194,1205,8,105,97
2193,1206,1,102,101
2192,1211,7,93,86
2193,1212,2,116,114
2194,1212,15,69,54
2193,1213,7,63,56
2192,1218,28,106,78
2194,1218,10,43,33
