X,Y,Subtracted,Original 1,Original 2
338,550,1,36,35
2129,899,18,77,59
2130,899,7,77,70
2129,900,18,77,59
2130,900,7,77,70
2131,905,3,55,52
2130,906,2,66,64
2131,911,10,58,48
2130,912,10,64,54
2131,912,21,108,87
2132,917,7,44,37
2130,918,7,55,48
2131,924,5,103,98
2132,924,13,88,75
2133,924,9,64,55
2133,930,8,116,108
2134,930,12,61,49
2133,931,12,103,91
2134,931,14,53,39
2132,932,9,40,31
2133,932,5,36,31
2133,935,5,54,49
2132,936,3,97,94
2132,937,7,72,65
2133,937,1,95,94
2134,937,9,46,37
2133,941,2,86,84
2133,943,3,121,118
2134,943,2,134,132
2135,943,5,87,82
2134,944,27,60,33
2134,949,16,129,113
2133,950,15,58,43
2135,950,6,59,53
2135,954,13,58,45
2135,955,47,120,73
2134,956,5,70,65
2134,960,11,90,79
2135,960,2,63,61
2136,960,3,71,68
2134,961,2,108,106
2135,961,2,111,109
2136,961,4,79,75
2135,962,8,111,103
2136,962,5,71,66
2135,963,5,48,43
2135,966,3,59,56
2136,966,4,67,63
2136,967,3,121,118
2134,968,5,48,43
2135,968,23,175,152
2135,969,5,80,75
2135,972,1,58,57
2136,972,10,61,51
2135,973,8,111,103
2136,973,3,110,107
2135,974,18,114,96
2136,974,2,102,100
2135,975,3,69,66
2136,975,10,68,58
2135,978,4,37,33
2135,979,6,78,72
2137,979,4,68,64
2135,980,6,78,72
2137,980,6,102,96
2138,980,1,49,48
2135,981,4,37,33
2137,981,9,66,57
2136,985,5,51,46
2137,985,31,84,53
2137,986,5,124,119
2137,987,6,90,84
2137,991,13,98,85
2137,992,9,143,134
2138,992,14,66,52
2137,997,5,62,57
2138,997,2,53,51
2138,998,4,115,111
2137,999,13,116,103
2138,999,26,152,126
2139,999,4,66,62
2137,1000,4,58,54
2138,1004,1,70,69
2139,1004,6,38,32
2137,1006,8,50,42
2138,1006,4,65,61
2138,1010,4,44,40
2137,1011,6,42,36
2139,1016,10,50,40
2139,1018,10,98,88
2140,1018,21,62,41
2140,1023,2,47,45
2139,1024,4,141,137
2140,1024,1,67,66
2138,1025,18,50,32
2140,1025,3,44,41
2139,1029,5,58,53
2140,1029,10,50,40
2139,1030,4,115,111
2139,1035,13,65,52
2139,1036,8,112,104
2139,1043,4,64,60
2141,1043,7,45,38
2139,1048,2,55,53
2140,1048,2,62,60
2140,1049,25,120,95
2139,1050,13,61,48
2141,1050,7,66,59
2140,1054,11,52,41
2139,1055,35,67,32
2140,1055,7,97,90
2141,1055,32,81,49
2141,1056,11,78,67
2141,1061,4,74,70
2141,1063,3,75,72
2142,1063,7,41,34
2141,1067,23,54,31
2140,1073,32,118,86
2141,1073,27,151,124
2140,1074,19,141,122
2141,1074,4,177,173
2140,1075,13,154,141
2141,1075,13,183,170
2142,1075,2,132,130
2142,1081,4,123,119
2143,1081,9,52,43
2140,1082,20,66,46
2141,1082,17,113,96
2142,1082,24,117,93
2142,1088,6,101,95
2141,1089,16,89,73
2142,1089,2,53,51
2143,1093,8,61,53
2140,1094,23,56,33
2142,1094,25,135,110
2143,1094,4,71,67
