X,Y,Subtracted,Original 1,Original 2
338,550,1,36,35
2131,905,7,55,48
2131,906,5,63,58
2131,907,5,36,31
2131,911,5,58,53
2131,917,1,51,50
2132,917,1,44,43
2130,918,1,55,54
2131,918,1,96,95
2132,918,1,63,62
2131,919,1,54,53
2132,919,1,37,36
2131,923,7,91,84
2132,923,7,64,57
2133,923,8,46,38
2133,925,1,67,66
2132,929,3,54,51
2133,929,10,61,51
2133,930,1,116,115
2134,930,6,61,55
2133,931,5,103,98
2134,931,11,53,42
2133,935,9,54,45
2132,936,12,97,85
2134,936,6,76,70
2132,937,20,72,52
2134,937,5,46,41
2133,941,4,86,82
2133,942,10,128,118
2134,942,5,107,102
2133,943,10,121,111
2134,943,14,134,120
2135,943,9,87,78
2134,944,9,60,51
2134,947,2,40,38
2134,948,4,62,58
2133,950,6,58,52
2134,950,9,65,56
2135,950,5,59,54
2135,955,3,120,117
2134,956,4,70,66
2135,956,3,61,58
2134,960,6,90,84
2136,960,35,71,36
2136,961,9,79,70
2135,962,3,111,108
2136,962,7,71,64
2135,963,17,48,31
2135,966,3,59,56
2136,966,12,67,55
2135,968,11,175,164
2136,968,5,103,98
2135,969,11,80,69
2136,969,7,55,48
2135,972,12,58,46
2136,972,9,61,52
2135,973,11,111,100
2136,973,8,110,102
2135,974,6,114,108
2136,974,2,102,100
2135,975,2,69,67
2136,975,4,68,64
2136,979,6,86,80
2137,979,18,68,50
2136,980,18,123,105
2137,980,9,102,93
2136,981,5,71,66
2136,985,1,51,50
2137,985,25,84,59
2138,985,1,37,36
2137,986,28,124,96
2137,987,15,90,75
2137,991,30,98,68
2138,991,1,53,52
2137,992,36,143,107
2137,993,46,118,72
2137,994,33,64,31
2137,997,8,62,54
2138,997,1,53,52
2138,998,5,115,110
2138,999,14,152,138
2139,999,1,66,65
2137,1004,2,46,44
2138,1004,2,70,68
2139,1005,2,55,53
2137,1006,6,50,44
2138,1006,6,65,59
2138,1010,1,44,43
2139,1011,10,67,57
2139,1012,5,62,57
2138,1016,5,54,49
2137,1017,10,43,33
2140,1018,14,62,48
2139,1023,16,76,60
2138,1024,10,69,59
2139,1024,9,141,132
2140,1024,7,67,60
2139,1029,5,58,53
2140,1029,3,50,47
2139,1035,13,65,52
2139,1036,18,112,94
2140,1036,1,102,101
2141,1036,6,40,34
2139,1037,7,102,95
2141,1037,2,41,39
2140,1042,6,76,70
2141,1042,1,32,31
2140,1043,17,110,93
2140,1044,49,87,38
2139,1048,5,55,50
2140,1048,2,62,60
2140,1049,1,120,119
2139,1050,9,61,52
2141,1050,9,66,57
