X,Y,Subtracted,Original 1,Original 2
2194,1146,2,39,37
2195,1146,3,54,51
2194,1147,10,48,38
2195,1147,12,63,51
2193,1198,23,67,44
2193,1204,11,50,39
2194,1204,5,47,42
2193,1205,11,46,35
2194,1205,6,46,40
2193,1217,9,53,44
2193,1218,12,56,44
2193,1224,3,63,60
2193,1230,12,47,35
2193,1231,12,54,42
2192,1236,14,49,35
2192,1237,3,55,52
2192,1249,8,48,40
2191,1250,5,54,49
2191,1256,10,60,50
2191,1257,8,39,31
2191,1268,2,46,44
2190,1275,10,63,53
2190,1276,9,43,34
2189,1288,11,61,50
2188,1300,8,49,41
2189,1300,1,67,66
2188,1301,11,55,44
2189,1301,8,67,59
2188,1307,4,53,49
2187,1319,24,69,45
2188,1319,22,65,43
2187,1320,24,102,78
2187,1321,8,53,45
2187,1325,4,39,35
2187,1326,5,60,55
2187,1327,1,58,57
2186,1345,5,36,31
