X,Y,Subtracted,Original 1,Original 2
2193,1000,17,63,46
2193,1005,1,34,33
2193,1006,8,64,56
2193,1007,11,57,46
2193,1011,1,35,34
2193,1018,2,48,46
2194,1018,8,53,45
2194,1019,3,54,51
2194,1037,8,50,42
2194,1050,11,48,37
2195,1050,7,47,40
2194,1051,13,48,35
2195,1051,9,47,38
2194,1063,5,62,57
2195,1063,17,70,53
2195,1076,5,58,53
2195,1082,17,50,33
2195,1108,21,55,34
2195,1115,4,42,38
2195,1119,7,49,42
2195,1120,7,59,52
2196,1120,4,39,35
2195,1145,21,87,66
2194,1146,2,53,51
2195,1146,53,140,87
2195,1147,54,98,44
2195,1159,7,54,47
2194,1164,2,35,33
2195,1164,3,38,35
2194,1165,1,74,73
2195,1165,3,75,72
2195,1172,1,67,66
2195,1178,8,46,38
2195,1184,13,53,40
2194,1186,7,41,34
2193,1191,9,43,34
2194,1191,2,81,79
2193,1197,10,68,58
2194,1197,19,93,74
2195,1197,13,45,32
2194,1198,7,65,58
2194,1210,9,54,45
2193,1211,1,72,71
2194,1211,10,45,35
2192,1216,6,47,41
2194,1216,3,70,67
2192,1217,1,36,35
2193,1222,11,52,41
2194,1222,1,32,31
2193,1223,8,82,74
2193,1224,1,70,69
2192,1229,2,92,90
2192,1230,1,79,78
2193,1230,7,93,86
2194,1230,1,39,38
2193,1231,8,52,44
2192,1235,1,63,62
2193,1235,3,76,73
2192,1236,7,79,72
2193,1236,6,88,82
2193,1237,9,53,44
2192,1242,4,58,54
2192,1243,1,54,53
2192,1248,7,62,55
2191,1249,3,44,41
2192,1249,4,87,83
2192,1250,2,47,45
2191,1256,2,62,60
2192,1256,4,44,40
2191,1261,2,58,56
2191,1268,1,103,102
2191,1269,3,71,68
2191,1273,5,58,53
2190,1274,1,70,69
2191,1274,10,111,101
2190,1281,3,65,62
2190,1282,9,43,34
2190,1286,10,51,41
2189,1287,8,61,53
2190,1287,10,100,90
2189,1288,20,60,40
2190,1288,1,37,36
2188,1293,10,42,32
2189,1293,22,95,73
2190,1293,5,63,58
2188,1294,3,44,41
2189,1294,14,96,82
2189,1295,2,52,50
2188,1299,18,57,39
2189,1299,3,108,105
2188,1300,20,71,51
2189,1300,9,128,119
2189,1301,6,71,65
2189,1306,7,101,94
2189,1307,10,77,67
2188,1308,3,34,31
2189,1312,15,54,39
2187,1313,3,71,68
2188,1313,9,92,83
2189,1313,4,50,46
2188,1314,12,67,55
2188,1319,16,105,89
2187,1320,1,61,60
2188,1325,2,44,42
2188,1326,9,50,41
2187,1333,2,41,39
2186,1337,5,60,55
2187,1337,5,50,45
2185,1339,2,58,56
2186,1339,12,55,43
2186,1343,12,64,52
2184,1344,13,49,36
2186,1344,14,53,39
2184,1345,25,56,31
2186,1345,16,52,36
2184,1350,8,63,55
2185,1350,14,100,86
2186,1350,6,54,48
2186,1351,6,47,41
