X,Y,Subtracted,Original 1,Original 2
3250,1591,1,1,0
386,832,1,1,0
387,832,2,2,0
388,832,2,2,0
389,832,1,1,0
1785,832,3,5,2
1786,832,4,6,2
1791,832,4,4,0
1793,832,1,3,2
1798,832,1,4,3
1799,832,2,2,0
1787,833,1,1,0
1788,833,10,10,0
1789,833,11,11,0
1792,833,6,6,0
1793,833,6,6,0
1794,833,4,5,1
1795,833,2,3,1
1784,834,10,10,0
1788,834,3,7,4
1789,834,1,1,0
1791,834,3,3,0
1792,834,2,5,3
1796,834,2,3,1
1790,835,6,24,18
1791,835,21,71,50
1786,836,2,2,0
1787,836,4,4,0
1790,836,2,55,53
1791,836,7,117,110
1797,836,1,2,1
1784,837,1,1,0
1789,837,6,6,0
1790,837,9,34,25
1791,837,3,66,63
1792,837,2,77,75
1793,837,2,37,35
1794,837,2,2,0
1796,837,2,5,3
386,838,2,4,2
387,838,4,6,2
388,838,4,6,2
389,838,2,4,2
1784,838,4,4,0
1785,838,1,1,0
1790,838,1,1,0
1791,838,3,3,0
1792,838,7,20,13
1793,838,6,8,2
386,839,4,6,2
387,839,7,9,2
388,839,7,9,2
389,839,4,6,2
1786,839,7,7,0
1787,839,3,3,0
1791,839,2,2,0
1784,840,7,10,3
1785,840,3,3,0
1786,840,1,2,1
1791,841,3,7,4
1795,841,2,3,1
1796,841,2,8,6
1797,841,2,7,5
1785,842,1,6,5
1786,842,1,5,4
1787,842,1,1,0
1793,842,1,45,44
1794,842,2,10,8
1797,842,3,6,3
1798,842,1,2,1
1785,843,4,14,10
1786,843,1,1,0
1788,844,1,7,6
1790,844,1,2,1
1795,844,2,4,2
1796,844,2,2,0
1795,845,1,1,0
1796,845,1,1,0
1797,845,1,1,0
1785,846,2,2,0
1786,846,2,2,0
1798,846,1,2,1
1799,846,2,9,7
1790,847,3,7,4
1799,848,4,4,0
1792,849,6,22,16
1793,849,9,38,29
1794,849,10,25,15
1793,850,1,61,60
1794,850,8,42,34
1797,850,7,9,2
1798,850,4,4,0
1794,851,1,27,26
1797,851,4,4,0
1798,851,1,1,0
1790,852,2,2,0
1791,852,1,2,1
1792,852,6,7,1
1793,852,1,10,9
1794,852,2,2,0
1796,852,3,3,0
1799,852,4,9,5
1790,853,2,2,0
1791,853,2,2,0
1795,853,2,2,0
1796,853,6,9,3
1799,853,10,11,1
1790,854,2,2,0
1791,854,2,2,0
1799,854,6,6,0
1793,855,13,16,3
1794,855,10,10,0
1797,855,3,4,1
1792,856,10,19,9
1797,856,7,9,2
1798,856,4,14,10
1793,857,5,87,82
1794,857,9,94,85
1795,857,3,42,39
1799,857,2,2,0
1792,858,10,30,20
1793,858,3,47,44
1792,859,6,6,0
1797,859,6,6,0
1798,859,2,2,0
1794,860,6,8,2
1795,860,3,5,2
1799,860,9,9,0
1797,861,1,1,0
1798,861,2,2,0
1799,861,3,5,2
1792,862,6,6,0
1796,862,9,11,2
1797,862,11,11,0
1798,862,3,3,0
1793,863,1,78,77
1794,863,5,92,87
