X,Y,Subtracted,Original 1,Original 2
1815,1263,3,5,2
1795,832,7,7,0
1796,832,9,9,0
1792,833,7,12,5
1799,833,9,9,0
1795,834,1,3,2
1796,834,2,3,1
1793,835,4,5,1
1795,835,3,3,0
1796,835,5,6,1
1797,835,2,2,0
1792,836,9,82,73
1793,836,14,47,33
1794,836,6,9,3
1798,836,1,1,0
1799,836,1,4,3
1792,837,6,73,67
1793,837,7,40,33
1794,837,3,6,3
1795,838,2,2,0
1796,838,8,8,0
1799,839,8,8,0
1784,840,6,6,0
1786,840,1,1,0
1787,840,3,3,0
1798,840,1,6,5
1799,840,3,3,0
1784,841,5,8,3
1788,841,4,4,0
1791,841,2,2,0
1793,841,3,3,0
1794,841,10,10,0
1795,841,7,15,8
1796,841,5,13,8
1797,841,1,4,3
1785,842,5,5,0
1788,842,5,5,0
1791,842,11,57,46
1797,842,1,1,0
1798,842,2,2,0
1799,842,1,5,4
1785,843,9,9,0
1786,843,4,4,0
1791,843,16,121,105
1792,843,11,174,163
1793,843,5,92,87
1797,843,3,3,0
1785,844,9,9,0
1786,844,2,2,0
1788,844,7,7,0
1791,844,22,102,80
1792,844,10,114,104
1793,844,5,56,51
1794,844,2,7,5
1795,844,1,2,1
1796,844,4,12,8
1797,844,4,7,3
1784,845,4,5,1
1785,845,5,5,0
1788,845,12,12,0
1799,845,5,9,4
1784,846,6,6,0
1788,846,6,7,1
1792,846,6,6,0
1793,846,12,12,0
1794,846,16,16,0
1795,846,10,10,0
1786,847,7,7,0
1787,847,7,7,0
1790,847,7,9,2
1791,847,11,11,0
1784,848,2,6,4
1788,848,1,8,7
1789,848,4,7,3
1790,848,2,2,0
1794,848,1,5,4
1784,849,6,7,1
1785,849,1,1,0
1792,849,7,29,22
1793,849,6,39,33
1794,849,4,20,16
1785,850,1,1,0
1790,850,3,12,9
1791,850,4,31,27
1792,850,10,86,76
1793,850,5,80,75
1794,850,1,43,42
1796,850,1,1,0
1797,850,3,3,0
1787,851,1,5,4
1790,851,7,16,9
1791,851,9,36,27
1792,851,2,80,78
1796,851,1,1,0
1797,851,3,3,0
1784,852,1,3,2
1792,852,2,22,20
1797,852,5,5,0
1793,853,3,3,0
1796,853,3,5,2
1797,853,3,5,2
1787,854,3,5,2
1788,854,6,8,2
1789,854,5,5,0
1790,854,4,4,0
1791,854,6,8,2
1792,854,4,4,0
1793,854,3,11,8
1794,854,3,5,2
1795,854,2,2,0
1796,854,2,9,7
1797,854,1,2,1
1799,855,3,7,4
1794,856,10,36,26
1797,856,3,3,0
1799,856,2,2,0
1794,857,6,63,57
1797,857,2,2,0
1792,858,13,63,50
1793,858,8,95,87
1794,858,15,75,60
1794,859,2,12,10
1797,859,1,1,0
1798,859,1,4,3
1799,859,8,8,0
1796,860,2,9,7
1797,860,1,1,0
1792,861,8,8,0
1794,861,2,2,0
1795,861,4,7,3
1796,861,2,16,14
1797,861,3,4,1
1797,862,6,6,0
1798,862,7,7,0
1799,862,12,12,0
1792,863,26,56,30
1793,863,3,90,87
1794,863,3,72,69
1794,864,1,139,138
1795,864,5,64,59
1799,864,6,6,0
1792,865,9,43,34
1793,865,6,86,80
1794,865,6,100,94
1795,865,6,59,53
1796,865,1,20,19
1792,866,1,1,0
1794,866,1,13,12
1795,866,4,4,0
1799,867,8,14,6
1792,868,7,7,0
1794,868,2,2,0
1795,868,4,16,12
1796,868,3,16,13
1792,869,4,4,0
1792,870,1,13,12
1795,870,1,50,49
1796,870,6,15,9
1797,870,3,3,0
1798,870,3,8,5
1799,870,6,13,7
1792,871,7,7,0
1793,871,3,111,108
1795,871,2,145,143
1796,871,4,57,53
1792,872,4,4,0
1793,872,1,56,55
1794,872,8,69,61
1795,872,14,82,68
1796,872,7,18,11
1797,872,6,6,0
1798,872,10,10,0
1792,873,1,1,0
1798,873,4,21,17
1795,874,5,8,3
1798,874,7,11,4
1795,875,4,26,22
1798,875,3,3,0
1799,875,3,6,3
1798,876,2,12,10
1794,877,4,53,49
1795,877,6,76,70
1798,877,3,4,1
1793,878,3,61,58
1794,878,14,101,87
1795,878,16,160,144
1796,878,1,65,64
1799,878,2,10,8
1792,879,3,5,2
1793,879,2,25,23
1794,879,14,75,61
1795,879,14,89,75
1798,879,2,3,1
1794,880,10,16,6
1795,880,10,28,18
1799,880,8,8,0
1792,881,6,11,5
1796,881,4,5,1
1797,881,9,9,0
1798,881,2,3,1
1793,882,1,1,0
1794,882,2,2,0
1798,882,1,1,0
1794,883,8,8,0
1795,883,3,12,9
1799,883,6,7,1
1792,884,3,13,10
1796,884,2,74,72
1797,884,13,37,24
1798,884,4,4,0
1794,886,6,81,75
1795,886,10,136,126
1799,886,5,5,0
1792,887,12,12,0
1795,887,6,8,2
1796,887,1,1,0
1799,887,5,10,5
1798,888,8,8,0
1795,889,12,12,0
1797,889,3,4,1
1792,890,3,8,5
1795,890,8,13,5
1797,890,15,15,0
1799,890,9,14,5
1794,891,28,62,34
1796,891,14,101,87
1797,891,14,108,94
1799,891,3,3,0
1794,892,21,47,26
1796,892,7,100,93
1797,892,6,118,112
1799,892,8,14,6
1794,893,5,55,50
1795,893,2,121,119
1797,893,12,122,110
1792,894,4,4,0
1793,894,1,1,0
1794,894,1,1,0
1795,894,18,20,2
1797,894,7,36,29
1792,895,1,1,0
1798,895,8,8,0
1792,897,11,20,9
1794,897,2,2,0
1795,897,10,10,0
1796,897,8,8,0
1799,897,5,5,0
1795,898,6,51,45
1796,898,3,80,77
1792,899,12,12,0
1794,899,3,29,26
1795,899,14,112,98
1796,899,12,176,164
1798,899,1,84,83
1799,899,15,21,6
1792,901,1,1,0
1793,901,6,6,0
1797,901,13,14,1
1798,901,10,10,0
1792,903,2,2,0
1795,903,3,3,0
1796,903,2,2,0
1799,903,6,7,1
1792,905,1,2,1
1798,905,4,46,42
1799,905,1,1,0
1792,906,1,5,4
1797,906,1,124,123
1798,906,1,85,84
1794,907,3,9,6
1795,907,6,10,4
1796,907,6,48,42
1797,907,1,85,84
1794,908,3,4,1
1795,908,1,1,0
1796,908,6,7,1
1797,908,1,17,16
1792,909,1,3,2
1792,910,1,8,7
1797,910,1,6,5
1798,910,3,3,0
1799,910,2,2,0
1797,911,1,1,0
1793,912,4,18,14
1794,912,6,13,7
1798,912,1,64,63
1799,912,6,25,19
1796,914,1,72,71
1797,914,2,126,124
1796,915,10,17,7
1797,915,13,31,18
1798,915,9,20,11
1793,916,2,2,0
1792,917,1,1,0
1793,917,1,2,1
1797,918,3,11,8
1798,918,10,14,4
1799,918,7,7,0
1793,919,4,4,0
1794,919,2,5,3
1798,919,3,57,54
1799,919,11,57,46
1792,920,6,7,1
1796,920,6,20,14
1799,920,1,62,61
1795,921,2,12,10
1796,921,4,45,41
1800,921,9,28,19
1801,921,14,15,1
1802,921,5,5,0
1803,921,4,4,0
1792,922,1,12,11
1800,922,10,11,1
1801,922,4,4,0
1803,922,1,1,0
1807,922,5,5,0
1803,923,1,1,0
1804,923,1,1,0
1807,923,7,7,0
1796,924,1,3,2
1797,924,1,4,3
1803,924,9,9,0
1804,924,6,6,0
1794,925,1,7,6
1798,925,1,1,0
1803,925,4,4,0
1804,925,5,5,0
1797,926,2,30,28
1797,927,1,58,57
1801,927,8,19,11
1802,927,3,3,0
1793,928,1,2,1
1797,928,18,23,5
1798,928,14,71,57
1800,928,1,49,48
1801,928,2,10,8
1795,929,1,7,6
1796,929,5,5,0
1797,929,5,5,0
1798,929,3,16,13
1806,929,2,5,3
1807,929,5,5,0
1792,930,5,5,0
1795,930,1,1,0
1796,930,2,2,0
1799,931,8,8,0
1800,931,3,3,0
1801,931,5,5,0
1802,931,7,15,8
1803,931,5,11,6
1794,932,6,6,0
1799,932,2,7,5
1806,932,3,8,5
1794,933,4,4,0
1792,934,1,5,4
1793,934,2,2,0
1800,934,2,51,49
1801,934,4,15,11
1803,934,3,3,0
1795,935,3,6,3
1796,935,3,5,2
1799,935,1,75,74
1799,936,15,46,31
1800,936,7,9,2
1804,936,4,4,0
1793,937,4,4,0
1796,937,5,5,0
1807,937,1,6,5
1793,938,4,4,0
1796,938,11,11,0
1797,938,3,3,0
1803,938,1,6,5
1804,938,2,2,0
1807,938,1,4,3
1793,939,6,6,0
1796,939,2,6,4
1797,939,3,4,1
1799,939,1,1,0
1803,939,1,6,5
1793,940,5,9,4
1798,940,1,3,2
1799,940,18,27,9
1793,941,4,4,0
1794,941,1,1,0
1796,941,1,1,0
1799,941,7,79,72
1806,941,1,1,0
1807,941,1,2,1
1795,942,1,6,5
1796,942,8,11,3
1796,943,5,5,0
1801,943,1,4,3
1792,944,2,2,0
1795,944,5,5,0
1796,944,14,14,0
1799,944,1,6,5
1801,944,1,1,0
1802,944,3,3,0
1803,944,4,4,0
1804,944,2,4,2
1792,945,3,3,0
1796,945,3,6,3
1799,945,5,5,0
1793,946,1,10,9
1798,946,1,1,0
1799,946,2,2,0
1805,946,2,4,2
1806,946,7,7,0
1807,946,10,10,0
1794,947,3,3,0
1796,947,2,2,0
1800,947,11,11,0
1801,947,3,3,0
1795,948,1,5,4
1796,948,1,4,3
1798,948,2,9,7
1792,949,2,6,4
1798,949,4,20,16
1799,949,9,86,77
1803,949,1,5,4
1804,949,2,2,0
1805,949,9,9,0
1806,949,11,11,0
1807,949,8,8,0
1792,950,4,4,0
1795,950,3,3,0
1796,950,2,5,3
1798,950,3,12,9
1799,950,17,58,41
1800,950,17,60,43
1801,950,16,39,23
1802,950,13,13,0
1795,951,5,5,0
1796,951,9,9,0
1799,951,6,6,0
1793,952,8,8,0
1794,952,3,3,0
1796,952,6,6,0
1797,952,1,6,5
1801,952,3,3,0
1806,952,11,11,0
1793,953,5,5,0
1794,953,1,1,0
1796,953,1,2,1
1804,953,1,3,2
1806,953,7,7,0
1793,954,2,2,0
1796,954,1,3,2
1799,954,7,17,10
1801,954,13,32,19
1802,954,9,11,2
1804,954,5,5,0
1806,954,3,3,0
1796,955,7,7,0
1799,955,5,46,41
1800,955,2,44,42
1801,955,22,86,64
1802,955,12,41,29
1793,956,1,1,0
1796,956,5,6,1
1798,956,2,16,14
1799,956,13,57,44
1801,956,3,102,99
1807,956,3,4,1
1792,957,5,5,0
1793,957,4,4,0
1798,957,6,8,2
1799,957,22,38,16
1801,957,1,64,63
1803,957,2,2,0
1804,957,2,2,0
1793,958,7,7,0
1799,958,12,12,0
1801,958,8,18,10
1803,958,1,1,0
1804,958,1,1,0
1806,958,2,5,3
1793,959,4,8,4
1794,959,3,3,0
1796,959,5,5,0
1797,959,3,5,2
1806,959,10,12,2
1798,960,1,2,1
1799,960,2,3,1
1800,960,1,1,0
1807,960,5,7,2
1798,961,1,2,1
1799,961,1,2,1
1800,961,2,2,0
1801,961,2,9,7
1804,961,2,2,0
1798,962,1,2,1
1799,962,1,2,1
1800,962,4,42,38
1798,963,1,2,1
1799,963,1,2,1
1800,963,17,93,76
1801,963,5,94,89
1798,964,1,2,1
1799,964,1,2,1
1800,964,24,78,54
1801,964,12,83,71
1805,964,5,5,0
1806,964,2,2,0
1798,965,1,2,1
1799,965,1,2,1
1800,965,8,13,5
1801,965,5,27,22
1802,965,3,16,13
1804,965,4,4,0
1805,965,6,6,0
1798,966,1,2,1
1799,966,1,2,1
1804,966,2,6,4
1798,967,1,2,1
1799,967,1,2,1
1801,967,1,6,5
1807,967,3,6,3
1804,968,2,2,0
1807,968,10,10,0
1801,969,20,76,56
1802,969,14,69,55
1805,969,7,8,1
1806,969,2,7,5
1801,970,17,126,109
1802,970,10,119,109
1805,970,2,5,3
1800,971,1,54,53
1803,971,1,42,41
1804,971,7,12,5
1807,971,6,6,0
1800,972,5,6,1
1801,972,2,5,3
1803,972,6,9,3
1804,972,11,11,0
1807,972,12,16,4
1805,973,3,5,2
1801,974,8,16,8
1802,974,4,8,4
1805,974,1,6,5
1803,975,1,1,0
1804,975,5,5,0
1807,975,13,13,0
1800,976,15,15,0
1807,976,3,3,0
1803,977,8,85,77
1804,977,13,34,21
1805,977,6,19,13
1800,978,1,18,17
1801,978,6,80,74
1802,978,2,98,96
1800,979,8,13,5
1801,979,8,52,44
1802,979,1,61,60
1805,979,3,6,3
1806,979,9,20,11
1807,979,6,16,10
1803,980,2,2,0
1803,981,1,1,0
1807,981,5,5,0
1801,982,3,3,0
1802,982,7,7,0
1806,982,2,2,0
1807,982,8,10,2
1801,983,17,27,10
1802,983,32,55,23
1803,983,18,43,25
1804,983,8,18,10
1805,983,5,5,0
1802,984,2,76,74
1803,984,5,42,37
1800,985,4,4,0
1804,985,6,40,34
1805,985,4,5,1
1803,986,2,42,40
1804,986,9,14,5
1807,987,6,6,0
1801,988,1,1,0
1802,988,7,7,0
1803,988,7,13,6
1807,988,5,9,4
1804,989,2,4,2
1800,990,5,12,7
1801,990,1,9,8
1805,990,8,13,5
1806,990,4,7,3
1801,991,5,30,25
1802,991,6,55,49
1807,991,4,4,0
1800,992,2,2,0
1801,992,8,36,28
1804,992,14,61,47
1801,993,5,16,11
1802,993,1,21,20
1804,993,14,34,20
1806,993,2,2,0
1801,994,1,1,0
1804,994,11,12,1
1806,994,4,4,0
1804,995,4,4,0
1806,995,2,2,0
1800,996,2,4,2
1805,996,1,1,0
1800,997,2,2,0
1803,997,1,8,7
1805,997,1,1,0
1807,997,7,11,4
1800,998,1,1,0
1802,998,4,35,31
1803,998,6,44,38
1805,998,17,19,2
1807,998,8,12,4
1800,999,3,4,1
1802,999,6,61,55
1803,999,11,86,75
1805,999,22,42,20
1807,999,4,4,0
1801,1000,14,14,0
1802,1000,22,50,28
1803,1000,9,79,70
1804,1000,3,65,62
1805,1000,12,25,13
1806,1000,1,1,0
1801,1001,4,4,0
1802,1001,10,10,0
1803,1001,1,11,10
1801,1002,3,3,0
1800,1003,2,2,0
1807,1003,3,3,0
1800,1004,2,4,2
1803,1004,1,13,12
1804,1004,2,8,6
1807,1004,3,10,7
1804,1005,1,53,52
1805,1005,2,9,7
1801,1006,1,5,4
1802,1006,1,48,47
1805,1006,9,50,41
1806,1006,7,9,2
1801,1007,10,13,3
1802,1007,7,43,36
1804,1007,1,84,83
1805,1007,18,61,43
1806,1007,16,24,8
1800,1008,1,5,4
1801,1008,1,3,2
1802,1008,1,5,4
1803,1008,1,10,9
1804,1008,1,11,10
1806,1008,1,1,0
1807,1009,1,1,0
1800,1010,1,5,4
1807,1010,1,14,13
1804,1013,1,99,98
1805,1013,1,71,70
1806,1013,1,30,29
1807,1013,2,7,5
1802,1014,1,15,14
1803,1014,4,59,55
1804,1014,6,76,70
1805,1014,5,49,44
1806,1014,2,13,11
1802,1015,3,3,0
1803,1015,8,33,25
1804,1015,8,41,33
1805,1015,7,20,13
1806,1015,2,2,0
1807,1015,1,1,0
1800,1016,6,6,0
1801,1016,4,11,7
1805,1016,6,7,1
1806,1016,2,2,0
1804,1017,1,1,0
1802,1018,1,6,5
1803,1018,2,4,2
1801,1019,1,1,0
1802,1020,1,1,0
1803,1020,2,24,22
1800,1021,1,1,0
1807,1021,11,11,0
1803,1022,3,26,23
1800,1023,3,5,2
1803,1023,1,1,0
1804,1023,5,9,4
1807,1023,3,5,2
1800,1024,2,2,0
1804,1024,5,5,0
1807,1024,2,2,0
