X,Y,Subtracted,Original 1,Original 2
1791,835,5,50,45
1791,836,5,103,98
1791,837,2,83,81
1792,837,5,74,69
1793,837,4,38,34
1791,842,7,52,45
1790,843,4,55,51
1791,843,2,109,107
1793,843,2,86,84
1792,844,1,104,103
1793,844,5,53,48
1793,850,3,76,73
1794,850,2,40,38
1793,851,9,77,68
1794,851,7,39,32
1792,852,1,32,31
1793,858,25,115,90
1793,863,41,104,63
1794,863,11,66,55
1792,864,2,65,63
1794,865,9,107,98
1795,865,19,66,47
1793,870,2,51,49
1793,871,2,118,116
1795,871,23,154,131
1796,871,22,67,45
1793,872,10,80,70
1795,872,11,101,90
1793,877,7,39,32
1795,877,3,87,84
1793,878,14,86,72
1794,878,2,103,101
1795,878,7,174,167
1793,879,21,62,41
1794,879,11,99,88
1795,879,15,114,99
1796,879,7,84,77
1796,884,14,69,55
1795,885,1,147,146
1796,885,6,148,142
1795,886,9,141,132
1794,891,9,54,45
1795,891,4,120,116
1797,891,12,94,82
1794,893,15,83,68
1796,893,19,160,141
1798,893,1,33,32
1797,898,1,66,65
1796,899,14,171,157
1798,899,14,82,68
1796,900,21,84,63
1797,905,2,65,63
1797,912,9,71,62
1798,912,7,52,45
1796,913,11,68,57
1797,913,9,152,143
1798,913,6,140,134
1799,913,2,95,93
1799,914,1,70,69
1797,915,13,59,46
1797,919,5,62,57
1799,920,6,58,52
1798,926,5,49,44
1799,927,1,85,84
1799,928,7,119,112
1800,928,16,56,40
1799,933,4,52,48
1799,934,6,93,87
1800,934,7,55,48
1798,935,3,59,56
1799,936,6,41,35
1798,941,1,38,37
1800,941,1,56,55
1798,942,3,55,52
1799,943,19,69,50
1799,948,6,49,43
1799,949,4,79,75
1800,949,17,129,112
1801,949,16,90,74
1801,955,14,72,58
1799,956,15,49,34
1801,956,15,110,95
1801,957,10,74,64
1801,962,4,50,46
1801,963,3,96,93
1802,963,7,59,52
1801,964,2,86,84
1802,964,2,55,53
1802,969,3,60,57
1800,970,2,65,63
1802,970,4,111,107
1800,971,1,44,43
1802,971,5,86,81
1801,976,7,54,47
1802,976,1,70,69
1802,977,1,120,119
1802,978,6,111,105
1803,978,3,65,62
1801,979,2,40,38
1802,979,10,52,42
1801,984,3,50,47
1802,984,1,71,70
1803,984,7,42,35
1802,985,6,129,123
1803,985,6,94,88
1801,986,3,36,33
1802,986,12,59,47
1802,992,8,59,51
1803,992,9,102,93
1804,992,6,53,47
1803,998,10,46,36
1803,999,4,78,74
1804,999,8,83,75
1803,1000,4,87,83
1804,1000,19,74,55
1804,1005,9,53,44
1804,1006,5,95,90
1804,1007,1,79,78
1803,1012,6,42,36
1804,1012,12,52,40
1803,1013,4,83,79
1804,1013,12,97,85
1803,1014,2,76,74
1804,1014,5,86,81
1803,1015,1,34,33
1803,1021,5,58,53
1804,1021,1,95,94
1805,1021,3,80,77
1805,1027,29,83,54
1803,1028,3,45,42
1805,1028,29,109,80
1806,1028,1,46,45
1805,1029,9,63,54
1805,1034,6,39,33
1805,1035,4,74,70
1806,1035,12,58,46
1805,1036,4,74,70
1806,1036,12,58,46
1805,1037,6,39,33
1805,1041,6,53,47
1806,1041,15,46,31
1805,1042,5,105,100
1806,1042,14,99,85
1807,1042,13,55,42
1804,1043,1,46,45
1805,1049,5,57,52
1806,1049,3,55,52
1805,1050,3,77,74
1806,1050,1,73,72
1805,1056,3,38,35
1806,1056,4,54,50
1805,1057,1,52,51
1806,1058,1,49,48
1805,1063,8,40,32
1805,1064,6,78,72
1806,1064,9,130,121
1807,1064,8,147,139
1808,1064,13,94,81
1805,1065,5,80,75
1806,1065,5,124,119
1807,1065,4,138,134
1808,1065,11,72,61
1808,1066,7,39,32
1807,1079,4,54,50
1807,1093,4,64,60
1807,1094,5,58,53
1808,1100,10,47,37
1808,1101,7,62,55
1808,1102,3,36,33
1808,1122,7,39,32
1809,1122,5,46,41
1808,1123,13,44,31
1809,1123,10,48,38
1809,1137,12,53,41
1810,1137,7,45,38
1810,1144,9,72,63
1809,1145,3,51,48
1810,1145,6,56,50
1809,1151,8,52,44
1811,1159,2,41,39
1810,1180,5,61,56
1811,1180,13,66,53
1811,1181,6,60,54
1810,1187,3,48,45
1810,1188,7,57,50
1811,1188,1,62,61
1812,1188,2,34,32
1812,1195,2,34,32
1810,1202,1,38,37
1812,1202,8,39,31
1812,1209,1,50,49
1811,1210,7,52,45
1812,1210,3,34,31
1811,1216,9,61,52
1812,1216,14,61,47
1812,1231,1,40,39
