X,Y,Subtracted,Original 1,Original 2
1790,836,7,58,51
1791,836,13,117,104
1790,837,4,39,35
1791,837,5,79,74
1792,842,22,71,49
1793,849,2,39,37
1792,850,9,86,77
1793,850,3,80,77
1792,851,13,80,67
1793,851,5,71,66
1793,856,1,44,43
1794,856,3,47,44
1792,857,3,61,58
1795,857,5,37,32
1792,858,12,49,37
1792,864,1,59,58
1793,864,8,117,109
1794,864,14,124,110
1795,864,11,83,72
1792,865,16,48,32
1794,870,8,69,61
1795,870,8,62,54
1793,871,7,123,116
1795,872,8,94,86
1793,878,15,58,43
1795,878,8,138,130
1794,891,25,71,46
1797,891,19,115,96
1797,892,5,122,117
1795,893,4,116,112
1797,893,2,117,115
1797,898,1,74,73
1798,900,1,48,47
1797,905,6,77,71
1798,905,5,54,49
1796,906,4,71,67
1797,906,9,129,120
1798,906,8,92,84
1796,907,3,42,39
1797,907,4,82,78
1798,907,2,58,56
1797,912,2,70,68
1798,912,1,75,74
1796,913,3,78,75
1797,913,2,153,151
1796,914,8,65,57
1797,914,7,116,109
1797,919,9,51,42
1798,919,6,64,58
1799,919,4,60,56
1798,920,18,98,80
1799,920,2,76,74
1798,921,19,122,103
1799,921,4,110,106
1798,926,1,55,54
1797,927,1,60,59
1800,927,8,45,37
1798,928,3,72,69
1799,933,1,59,58
1798,934,1,61,60
1798,935,3,39,36
1800,940,6,38,32
1798,941,2,41,39
1799,941,3,87,84
1800,941,5,93,88
1801,941,4,51,47
1798,942,3,52,49
1799,942,5,103,98
1800,943,3,36,33
1799,948,6,52,46
1800,948,7,76,69
1801,948,8,48,40
1799,949,9,81,72
1800,949,7,137,130
1801,949,7,96,89
1802,949,5,42,37
1799,950,11,53,42
1800,955,5,47,42
1801,955,7,60,53
1800,956,8,72,64
1801,956,28,100,72
1802,956,13,57,44
1801,957,18,62,44
1800,962,7,40,33
1801,962,4,49,45
1802,962,1,40,39
1800,963,4,82,78
1800,964,23,64,41
1801,964,11,68,57
1802,964,2,50,48
1800,969,4,36,32
1801,969,3,81,78
1802,969,3,61,58
1800,970,3,62,59
1801,970,3,121,118
1802,970,2,104,102
1801,976,6,52,46
1802,976,3,69,66
1801,977,30,113,83
1802,977,35,141,106
1803,977,24,90,66
1802,985,2,116,114
1803,985,8,100,92
1804,985,3,37,34
1802,986,8,58,50
1803,986,10,45,35
1804,991,8,39,31
1804,992,11,65,54
1803,993,1,44,43
1804,998,1,43,42
1802,999,7,53,46
1804,999,3,84,81
1805,999,19,53,34
1804,1000,1,67,66
1802,1006,2,43,41
1803,1006,2,94,92
1803,1007,6,71,65
1804,1007,2,83,81
1805,1007,1,53,52
1803,1014,6,53,47
1804,1014,2,64,62
1804,1020,11,68,57
1805,1020,13,62,49
1804,1021,3,97,94
1805,1021,5,86,81
1806,1021,1,35,34
1805,1027,1,59,58
1805,1028,5,84,79
1806,1035,1,63,62
1805,1036,2,62,60
1806,1036,5,55,50
1805,1041,10,54,44
1806,1041,6,44,38
1804,1042,6,56,50
1805,1042,4,98,94
1805,1049,4,60,56
1805,1050,3,54,51
1806,1056,16,62,46
1806,1058,8,57,49
1805,1063,22,81,59
1808,1063,26,57,31
1806,1064,2,111,109
1807,1064,8,150,142
1805,1065,8,66,58
1806,1066,2,54,52
1808,1078,6,40,34
1808,1079,7,61,54
1807,1086,5,70,65
1808,1092,2,38,36
1807,1093,2,42,40
1809,1108,5,47,42
1808,1122,7,41,34
1809,1145,7,47,40
1810,1145,8,54,46
1809,1151,4,47,43
1809,1159,2,39,37
1810,1159,4,64,60
1811,1159,4,43,39
1810,1172,7,39,32
1809,1173,4,35,31
1810,1173,16,73,57
1811,1173,17,73,56
1811,1174,2,44,42
1811,1187,6,49,43
1811,1188,3,62,59
1811,1189,1,35,34
1810,1195,4,36,32
1811,1201,2,40,38
1811,1202,7,62,55
1812,1202,9,50,41
1811,1203,2,34,32
1811,1209,6,57,51
1812,1209,6,57,51
1811,1210,5,42,37
1812,1210,5,42,37
