X,Y,Subtracted,Original 1,Original 2
1791,835,2,55,53
1793,836,10,46,36
1793,837,5,42,37
1792,842,5,73,68
1793,842,6,44,38
1793,850,12,87,75
1794,850,13,57,44
1793,851,1,66,65
1794,851,1,38,37
1793,857,3,96,93
1794,857,2,87,85
1793,858,15,73,58
1794,858,12,63,51
1792,863,7,42,35
1793,863,27,86,59
1794,863,6,78,72
1792,864,2,57,55
1793,864,25,131,106
1795,864,4,72,68
1794,865,3,86,83
1795,865,15,64,49
1793,870,10,61,51
1793,871,7,122,115
1795,871,14,157,143
1793,872,18,50,32
1794,872,3,62,59
1795,877,16,82,66
1796,877,4,58,54
1795,878,8,149,141
1796,878,2,64,62
1794,885,7,81,74
1795,885,6,157,151
1796,885,2,159,157
1797,885,2,86,84
1794,886,4,49,45
1796,891,14,103,89
1796,892,5,99,94
1794,893,2,43,41
1796,893,9,122,113
1795,898,19,66,47
1796,898,12,98,86
1795,899,11,100,89
1796,899,8,166,158
1798,900,1,47,46
1796,905,4,44,40
1797,912,3,78,75
1797,913,4,151,147
1798,913,3,154,151
1797,914,4,104,100
1798,914,5,102,97
1799,914,2,69,67
1797,919,21,59,38
1798,919,16,74,58
1799,919,3,69,66
1797,921,3,86,83
1799,921,7,111,104
1800,921,12,45,33
1798,926,5,59,54
1799,926,15,59,44
1799,927,17,113,96
1800,927,9,50,41
1798,934,7,68,61
1799,934,10,114,104
1800,934,1,64,63
1801,934,5,36,31
1798,935,5,42,37
1799,935,6,77,71
1799,941,1,93,92
1798,942,1,55,54
1799,942,1,102,101
1800,947,5,41,36
1800,948,6,49,43
1799,949,4,74,70
1800,949,4,151,147
1801,949,2,108,106
1799,950,5,45,40
1800,950,1,36,35
1799,955,2,46,44
1801,955,7,70,63
1799,956,5,49,44
1801,956,15,111,96
1802,956,1,54,53
1800,957,1,39,38
1801,957,21,77,56
1801,962,10,43,33
1800,970,16,75,59
1803,970,13,57,44
1800,971,10,50,40
1801,971,9,79,70
1802,971,9,80,71
1800,977,26,68,42
1801,977,35,128,93
1802,977,38,153,115
1803,977,26,99,73
1801,984,3,49,46
1802,984,11,79,68
1803,984,2,60,58
1801,985,7,74,67
1802,985,1,122,121
1804,985,5,43,38
1802,991,9,56,47
1802,992,14,61,47
1804,992,12,59,47
1803,993,8,49,41
1803,998,7,53,46
1803,999,24,91,67
1804,1000,4,67,63
1803,1005,3,62,59
1803,1006,3,94,91
1804,1006,2,95,93
1803,1007,3,67,64
1804,1007,4,78,74
1804,1012,11,53,42
1803,1013,20,86,66
1804,1013,16,107,91
1803,1014,11,53,42
1804,1014,7,71,64
1804,1019,7,38,31
1803,1021,12,56,44
1804,1021,14,95,81
1805,1021,16,84,68
1805,1027,3,64,61
1805,1028,12,100,88
1805,1029,20,69,49
1805,1041,5,54,49
1804,1042,11,53,42
1805,1042,1,99,98
1804,1043,3,39,36
1805,1043,2,90,88
1806,1043,3,91,88
1807,1043,8,59,51
1805,1049,10,65,55
1806,1049,15,72,57
1807,1049,18,55,37
1805,1050,4,63,59
1806,1050,7,69,62
1807,1050,8,52,44
1805,1057,39,92,53
1806,1063,17,82,65
1807,1063,24,93,69
1805,1064,17,99,82
1808,1064,7,81,74
1805,1065,16,87,71
1805,1066,13,45,32
1807,1078,4,42,38
1808,1078,4,38,34
1807,1079,4,59,55
1808,1079,4,58,54
1807,1093,13,47,34
1808,1094,1,51,50
1809,1130,6,44,38
1809,1136,3,41,38
1810,1136,10,52,42
1809,1137,3,44,41
1810,1137,10,51,41
1809,1144,3,51,48
1810,1144,2,59,57
1809,1145,3,42,39
1810,1145,1,45,44
1810,1158,4,40,36
1809,1159,16,56,40
1810,1159,12,71,59
1810,1172,13,49,36
1811,1172,7,38,31
1809,1173,3,40,37
1810,1173,7,77,70
1810,1174,19,57,38
1811,1174,7,45,38
1811,1179,13,60,47
1811,1180,5,74,69
1811,1194,2,41,39
1811,1195,8,52,44
1812,1195,13,44,31
1810,1202,3,43,40
1811,1202,5,66,61
1812,1202,5,43,38
1811,1203,9,45,36
1811,1210,2,37,35
1812,1210,4,37,33
1811,1216,22,66,44
1812,1216,21,66,45
